id,zip,city,state_id,state_name,density,county_name,,,
30003,90001,Los Angeles,CA,California,6595.9,Los Angeles,,,
30004,90002,Los Angeles,CA,California,6721.1,Los Angeles,,,
30005,90003,Los Angeles,CA,California,8016.2,Los Angeles,,,
30006,90004,Los Angeles,CA,California,7668.7,Los Angeles,,,
30007,90005,Los Angeles,CA,California,14151.8,Los Angeles,,,
30008,90006,Los Angeles,CA,California,11981.7,Los Angeles,,,
30009,90007,Los Angeles,CA,California,6640.7,Los Angeles,,,
30010,90008,Los Angeles,CA,California,3337.9,Los Angeles,,,
30011,90010,Los Angeles,CA,California,3226.8,Los Angeles,,,
30012,90011,Los Angeles,CA,California,10014.5,Los Angeles,,,
30013,90012,Los Angeles,CA,California,4361.8,Los Angeles,,,
30014,90013,Los Angeles,CA,California,7227.4,Los Angeles,,,
30015,90014,Los Angeles,CA,California,11845.8,Los Angeles,,,
30016,90015,Los Angeles,CA,California,5112.6,Los Angeles,,,
30017,90016,Los Angeles,CA,California,4886,Los Angeles,,,
30018,90017,Los Angeles,CA,California,14737.8,Los Angeles,,,
30019,90018,Los Angeles,CA,California,7131.7,Los Angeles,,,
30020,90019,Los Angeles,CA,California,6408.5,Los Angeles,,,
30021,90020,Los Angeles,CA,California,13386.6,Los Angeles,,,
30022,90021,Los Angeles,CA,California,549.2,Los Angeles,,,
30023,90022,Los Angeles,CA,California,5905.2,Los Angeles,,,
30024,90023,Los Angeles,CA,California,4266.7,Los Angeles,,,
30025,90024,Los Angeles,CA,California,6788.2,Los Angeles,,,
30026,90025,Los Angeles,CA,California,7045.4,Los Angeles,,,
30027,90026,Los Angeles,CA,California,6298.5,Los Angeles,,,
30028,90027,Los Angeles,CA,California,2125.2,Los Angeles,,,
30029,90028,Los Angeles,CA,California,7541.8,Los Angeles,,,
30030,90029,Los Angeles,CA,California,10396.7,Los Angeles,,,
30031,90031,Los Angeles,CA,California,4462.7,Los Angeles,,,
30032,90032,Los Angeles,CA,California,3890,Los Angeles,,,
30033,90033,Los Angeles,CA,California,5808.6,Los Angeles,,,
30034,90034,Los Angeles,CA,California,6682.9,Los Angeles,,,
30035,90035,Los Angeles,CA,California,5141.5,Los Angeles,,,
30036,90036,Los Angeles,CA,California,5933.8,Los Angeles,,,
30037,90037,Los Angeles,CA,California,9205,Los Angeles,,,
30038,90038,Los Angeles,CA,California,7044.2,Los Angeles,,,
30039,90039,Los Angeles,CA,California,3022,Los Angeles,,,
30040,90040,Los Angeles,CA,California,852.8,Los Angeles,,,
30041,90041,Los Angeles,CA,California,3113.3,Los Angeles,,,
30042,90042,Los Angeles,CA,California,5250,Los Angeles,,,
30043,90043,Los Angeles,CA,California,4284.9,Los Angeles,,,
30044,90044,Los Angeles,CA,California,7474.9,Los Angeles,,,
30045,90045,Los Angeles,CA,California,1459.6,Los Angeles,,,
30046,90046,Los Angeles,CA,California,3397.6,Los Angeles,,,
30047,90047,Los Angeles,CA,California,4196.1,Los Angeles,,,
30048,90048,Los Angeles,CA,California,4399.8,Los Angeles,,,
30049,90049,Los Angeles,CA,California,936.2,Los Angeles,,,
30050,90056,Los Angeles,CA,California,1869.7,Los Angeles,,,
30051,90057,Los Angeles,CA,California,21865,Los Angeles,,,
30052,90058,Los Angeles,CA,California,180.7,Los Angeles,,,
30053,90059,Los Angeles,CA,California,5381.7,Los Angeles,,,
30054,90061,Los Angeles,CA,California,4043.1,Los Angeles,,,
30055,90062,Los Angeles,CA,California,7171.2,Los Angeles,,,
30056,90063,Los Angeles,CA,California,6368.9,Los Angeles,,,
30057,90064,Los Angeles,CA,California,2495.5,Los Angeles,,,
30058,90065,Los Angeles,CA,California,3398.2,Los Angeles,,,
30059,90066,Los Angeles,CA,California,4642,Los Angeles,,,
30060,90067,Los Angeles,CA,California,2856.8,Los Angeles,,,
30061,90068,Los Angeles,CA,California,1051.1,Los Angeles,,,
30062,90069,West Hollywood,CA,California,3694.5,Los Angeles,,,
30063,90071,Los Angeles,CA,California,394.8,Los Angeles,,,
30064,90073,Los Angeles,CA,California,1085.1,Los Angeles,,,
30065,90077,Los Angeles,CA,California,441.4,Los Angeles,,,
30066,90079,Los Angeles,CA,California,0,Los Angeles,,,
30067,90089,Los Angeles,CA,California,5097.2,Los Angeles,,,
30068,90090,Dodgertown,CA,California,0,Los Angeles,,,
30069,90094,Playa Vista,CA,California,6223.7,Los Angeles,,,
30070,90095,Los Angeles,CA,California,0,Los Angeles,,,
30071,90201,Bell Gardens,CA,California,6630.7,Los Angeles,,,
30072,90210,Beverly Hills,CA,California,736.5,Los Angeles,,,
30073,90211,Beverly Hills,CA,California,4420.7,Los Angeles,,,
30074,90212,Beverly Hills,CA,California,5381,Los Angeles,,,
30075,90220,Compton,CA,California,2950.9,Los Angeles,,,
30076,90221,Compton,CA,California,3743,Los Angeles,,,
30077,90222,Compton,CA,California,4981.8,Los Angeles,,,
30078,90230,Culver City,CA,California,2798.8,Los Angeles,,,
30079,90232,Culver City,CA,California,2709.5,Los Angeles,,,
30080,90240,Downey,CA,California,3464.1,Los Angeles,,,
30081,90241,Downey,CA,California,3388.6,Los Angeles,,,
30082,90242,Downey,CA,California,3621.8,Los Angeles,,,
30083,90245,El Segundo,CA,California,1182.5,Los Angeles,,,
30084,90247,Gardena,CA,California,4966.6,Los Angeles,,,
30085,90248,Gardena,CA,California,954.7,Los Angeles,,,
30086,90249,Gardena,CA,California,3426.7,Los Angeles,,,
30087,90250,Hawthorne,CA,California,5598.4,Los Angeles,,,
30088,90254,Hermosa Beach,CA,California,5287.7,Los Angeles,,,
30089,90255,Huntington Park,CA,California,7789.9,Los Angeles,,,
30090,90260,Lawndale,CA,California,5017.3,Los Angeles,,,
30091,90262,Lynwood,CA,California,5635,Los Angeles,,,
30092,90263,Malibu,CA,California,3141.2,Los Angeles,,,
30093,90265,Malibu,CA,California,64.3,Los Angeles,America/Los_Angeles,,
30094,90266,Manhattan Beach,CA,California,3482.1,Los Angeles,,,
30095,90270,Maywood,CA,California,8350.2,Los Angeles,,,
30096,90272,Pacific Palisades,CA,California,365.8,Los Angeles,,,
30097,90274,Palos Verdes Peninsula,CA,California,807.8,Los Angeles,,,
30098,90275,Rancho Palos Verdes,CA,California,1203.4,Los Angeles,,,
30099,90277,Redondo Beach,CA,California,3754.1,Los Angeles,,,
30100,90278,Redondo Beach,CA,California,4312.9,Los Angeles,,,
30101,90280,South Gate,CA,California,5002.2,Los Angeles,,,
30102,90290,Topanga,CA,California,109.4,Los Angeles,,,
30103,90291,Venice,CA,California,4164.8,Los Angeles,,,
30104,90292,Marina Del Rey,CA,California,4466.1,Los Angeles,,,
30105,90293,Playa Del Rey,CA,California,1719.1,Los Angeles,,,
30106,90301,Inglewood,CA,California,5958.4,Los Angeles,,,
30107,90302,Inglewood,CA,California,6121.4,Los Angeles,,,
30108,90303,Inglewood,CA,California,4226.1,Los Angeles,,,
30109,90304,Inglewood,CA,California,6394.5,Los Angeles,,,
30110,90305,Inglewood,CA,California,2512.7,Los Angeles,,,
30111,90401,Santa Monica,CA,California,3235.2,Los Angeles,,,
30112,90402,Santa Monica,CA,California,2289.4,Los Angeles,,,
30113,90403,Santa Monica,CA,California,6464.7,Los Angeles,,,
30114,90404,Santa Monica,CA,California,4442.7,Los Angeles,,,
30115,90405,Santa Monica,CA,California,4108.6,Los Angeles,,,
30116,90501,Torrance,CA,California,2863.3,Los Angeles,,,
30117,90502,Torrance,CA,California,3070.9,Los Angeles,,,
30118,90503,Torrance,CA,California,3246.3,Los Angeles,,,
30119,90504,Torrance,CA,California,2898.2,Los Angeles,,,
30120,90505,Torrance,CA,California,2480.4,Los Angeles,,,
30121,90506,Torrance,CA,California,0,Los Angeles,,,
30122,90601,Whittier,CA,California,1090.7,Los Angeles,,,
30123,90602,Whittier,CA,California,2661.7,Los Angeles,,,
30124,90603,Whittier,CA,California,2549,Los Angeles,,,
30125,90604,Whittier,CA,California,3888.1,Los Angeles,,,
30126,90605,Whittier,CA,California,2745.7,Los Angeles,,,
30127,90606,Whittier,CA,California,3366.8,Los Angeles,,,
30128,90620,Buena Park,CA,California,2802.5,Orange,,,
30129,90621,Buena Park,CA,California,3311.4,Orange,,,
30130,90623,La Palma,CA,California,3332,Orange,America/Los_Angeles,,
30131,90630,Cypress,CA,California,3100.9,Orange,America/Los_Angeles,,
30132,90631,La Habra,CA,California,1918.8,Orange,America/Los_Angeles,,
30133,90638,La Mirada,CA,California,2415.3,Los Angeles,America/Los_Angeles,,
30134,90640,Montebello,CA,California,2852.6,Los Angeles,,,
30135,90650,Norwalk,CA,California,4144.5,Los Angeles,,,
30136,90660,Pico Rivera,CA,California,3138.8,Los Angeles,,,
30137,90670,Santa Fe Springs,CA,California,761.9,Los Angeles,,,
30138,90680,Stanton,CA,California,4365,Orange,,,
30139,90701,Artesia,CA,California,3979.5,Los Angeles,,,
30140,90703,Cerritos,CA,California,2225.4,Los Angeles,,,
30141,90704,Avalon,CA,California,20.5,Los Angeles,,,
30142,90706,Bellflower,CA,California,4878.4,Los Angeles,,,
30143,90710,Harbor City,CA,California,4599.8,Los Angeles,,,
30144,90712,Lakewood,CA,California,2814.2,Los Angeles,,,
30145,90713,Lakewood,CA,California,3208.4,Los Angeles,,,
30146,90715,Lakewood,CA,California,4599.3,Los Angeles,,,
30147,90716,Hawaiian Gardens,CA,California,5922.9,Los Angeles,,,
30148,90717,Lomita,CA,California,4191.7,Los Angeles,,,
30149,90720,Los Alamitos,CA,California,1403.3,Orange,,,
30150,90723,Paramount,CA,California,4492.9,Los Angeles,,,
30151,90731,San Pedro,CA,California,2557.2,Los Angeles,,,
30152,90732,San Pedro,CA,California,2566.9,Los Angeles,,,
30153,90740,Seal Beach,CA,California,1068.8,Orange,America/Los_Angeles,,
30154,90742,Sunset Beach,CA,California,1449.7,Orange,,,
30155,90743,Surfside,CA,California,1099.7,Orange,,,
30156,90744,Wilmington,CA,California,2616,Los Angeles,,,
30157,90745,Carson,CA,California,2646,Los Angeles,,,
30158,90746,Carson,CA,California,1792.2,Los Angeles,,,
30159,90747,Carson,CA,California,0,Los Angeles,,,
30160,90755,Signal Hill,CA,California,2045.7,Los Angeles,,,
30161,90802,Long Beach,CA,California,2319.2,Los Angeles,,,
30162,90803,Long Beach,CA,California,3075.7,Los Angeles,,,
30163,90804,Long Beach,CA,California,7165.8,Los Angeles,,,
30164,90805,Long Beach,CA,California,5030.7,Los Angeles,,,
30165,90806,Long Beach,CA,California,4710.2,Los Angeles,,,
30166,90807,Long Beach,CA,California,2129.8,Los Angeles,,,
30167,90808,Long Beach,CA,California,2210,Los Angeles,,,
30168,90810,Long Beach,CA,California,2147.9,Los Angeles,,,
30169,90813,Long Beach,CA,California,7023.3,Los Angeles,,,
30170,90814,Long Beach,CA,California,5611.3,Los Angeles,,,
30171,90815,Long Beach,CA,California,2240.2,Los Angeles,America/Los_Angeles,,
30172,90822,Long Beach,CA,California,316,Los Angeles,,,
30173,90831,Long Beach,CA,California,0,Los Angeles,,,
30174,91001,Altadena,CA,California,1768.6,Los Angeles,,,
30175,91006,Arcadia,CA,California,2014.1,Los Angeles,,,
30176,91007,Arcadia,CA,California,2369.6,Los Angeles,,,
30177,91008,Duarte,CA,California,206.5,Los Angeles,,,
30178,91010,Duarte,CA,California,1446.8,Los Angeles,,,
30179,91011,La Canada Flintridge,CA,California,661.3,Los Angeles,,,
30180,91016,Monrovia,CA,California,1869.5,Los Angeles,,,
30181,91020,Montrose,CA,California,4432.3,Los Angeles,,,
30182,91024,Sierra Madre,CA,California,1429.6,Los Angeles,,,
30183,91030,South Pasadena,CA,California,2901.9,Los Angeles,,,
30184,91040,Sunland,CA,California,943.7,Los Angeles,,,
30185,91042,Tujunga,CA,California,208.7,Los Angeles,,,
30186,91046,Verdugo City,CA,California,6097.1,Los Angeles,,,
30187,91101,Pasadena,CA,California,6210.9,Los Angeles,,,
30188,91103,Pasadena,CA,California,1982.2,Los Angeles,,,
30189,91104,Pasadena,CA,California,3842.6,Los Angeles,,,
30190,91105,Pasadena,CA,California,1319.5,Los Angeles,,,
30191,91106,Pasadena,CA,California,3348.4,Los Angeles,,,
30192,91107,Pasadena,CA,California,1525.1,Los Angeles,,,
30193,91108,San Marino,CA,California,1355,Los Angeles,,,
30194,91201,Glendale,CA,California,3818,Los Angeles,,,
30195,91202,Glendale,CA,California,4397.7,Los Angeles,,,
30196,91203,Glendale,CA,California,7268.9,Los Angeles,,,
30197,91204,Glendale,CA,California,6431.6,Los Angeles,,,
30198,91205,Glendale,CA,California,7685.2,Los Angeles,,,
30199,91206,Glendale,CA,California,2280.2,Los Angeles,,,
30200,91207,Glendale,CA,California,936.9,Los Angeles,,,
